epoch,train_loss,eval_loss,eval_map
0,1229.8966796875,244.50333314333744,0.006678403759253656
1,598.0756115913391,349.028265148461,0.0040257789805520135
2,1.8097909212112426,17.760028246648325,0.08253718836807662
3,1.310619831085205,10.170451536923945,0.10286852587265845
4,0.9670773506164551,3.320435157997575,0.10482566852165423
5,1.1898619651794433,1.3479119001744027,0.12560273855231643
6,1.1059579610824586,1.4977015493389123,0.11364896180014313
7,1.0868387699127198,4.4830839982730355,0.013048436378311823
8,1.0443727731704713,2.3356628709422322,0.06781535604164156
9,0.8421035289764405,0.9839125169302992,0.1171023864010957
10,0.7075790882110595,0.7632583335549654,0.13674332880960782
11,0.7847588658332825,0.6843040104141694,0.1494976869257002
12,0.7472760438919067,0.7067950150531853,0.15035767004073983
13,0.6875303983688354,0.8371123349021575,0.13342292889340804
14,0.742916464805603,0.7908852981899926,0.15831302264637073
15,0.6234290122985839,0.8801780941491136,0.15346733718644415
16,0.7700067043304444,0.7505081808399819,0.16912429622148412
17,0.6567728281021118,0.6132098890258697,0.17731875298441999
18,0.8370319843292237,0.6403051925326636,0.16780381200750516
19,0.8245089054107666,0.5835628743639929,0.17435339495517554
20,0.5964741706848145,0.5779252251785599,0.1757206689401526
21,0.6460731744766235,0.6125128210665945,0.18913317103865895
22,0.6326691746711731,0.5537399180188686,0.18142856862271872
23,0.6273163080215454,0.6035231883396844,0.17206380842028954
24,0.5317634105682373,0.5322192347121382,0.1851311966462343
25,0.7040704727172852,0.5801984874423377,0.18808790133350212
26,0.6138105869293213,0.5630963856806019,0.19148521976150137
27,0.6223049521446228,0.561591307839793,0.17272705797297755
28,0.5783810377120971,0.5577579352086436,0.19188773306150314
29,0.6145659208297729,0.508514133866182,0.18919457587263888
30,0.6075391054153443,0.5611595584299855,0.1830694291521266
31,0.6044875144958496,0.5069858915581255,0.19183179970938657
32,0.7115422248840332,0.5274916069063251,0.19064224363739737
33,0.6584698796272278,0.5021412953107295,0.19982672413864577
34,0.5454396724700927,0.5549765335534044,0.19646311544777392
35,0.6986855030059814,0.5175049207014646,0.18709894868683052
36,0.5765530824661255,0.5179364965530578,0.18939017230892377
37,0.5421715438365936,0.6058934960432186,0.17556230008165313
38,0.6855772495269775,0.6504322755073976,0.1857064621274314
39,0.6317813515663147,0.5214822795204743,0.196043148929792
40,0.5726459383964538,0.534292873256431,0.19734154368868834
41,0.6909889459609986,0.5247137415146302,0.1932095445603284
42,0.5492717146873474,0.49517324919213274,0.19198862785845994
43,0.5805855751037597,0.4828126633573391,0.19452873044349342
44,0.6023967266082764,0.5116345659047664,0.1931573157465468
45,0.5242985963821412,0.4633034472475071,0.20791687836259376
46,0.5008480787277222,0.4612032734081597,0.20360814223239568
47,0.5647189855575562,0.4730512536838203,0.2053249289799918
48,0.5204635620117187,0.4841220873391222,0.19670331469309166
49,0.4727556943893433,0.4653475507944524,0.20307133960830354
50,0.6572210311889648,0.544671064388298,0.1954449625163662
51,0.6033166289329529,0.5306972169684981,0.19042466934455482
52,0.5798748016357422,0.4697763341701102,0.2006690170925105
53,0.5090063810348511,0.44527069576278716,0.2072019553929067
54,0.8596855163574219,0.5247254073022601,0.19346885786341086
55,0.6245581865310669,0.567109204724222,0.1978046972548164
56,0.6326005578041076,0.49354552314850036,0.20215680197356145
57,0.4598053455352783,0.46567280569630776,0.20439971035061125
58,0.5133080840110779,0.43781443606158776,0.20786792272383278
59,0.5042708933353424,0.46502966536787566,0.20683079658159464
60,0.4701539397239685,0.4804046015462321,0.20044078652518893
61,0.4819983124732971,0.44438861785288564,0.20613430352227166
62,0.5433206200599671,0.45070032103506025,0.20468760017467072
63,0.5367704629898071,0.46382981443214033,0.20652612576931384
64,0.5432489156723023,0.4735781470377125,0.19671036258423297
65,0.48122006058692934,0.46259301148340076,0.20076564443955988
66,0.5425815939903259,0.4405976400107802,0.21162498359622625
67,0.5770308613777161,0.4421071552322479,0.20663312924590538
68,0.525048041343689,0.4755499012962372,0.20875217317049163
69,0.5225885391235352,0.44431471896314906,0.20444906812675898
